Datum,Bundesland,Bundesland_Id,Altersgruppe,7T_Hospitalisierung_Faelle,7T_Hospitalisierung_Inzidenz
2021-11-19,Bundesgebiet,00,00-04,92,2.32
2021-11-19,Bundesgebiet,00,00+,4437,5.34
2021-11-19,Bundesgebiet,00,05-14,101,1.35
2021-11-19,Bundesgebiet,00,15-34,386,2.04
2021-11-19,Bundesgebiet,00,35-59,877,3.06
2021-11-19,Bundesgebiet,00,60-79,1528,8.42
2021-11-19,Bundesgebiet,00,80+,1452,24.46
2021-11-19,Schleswig-Holstein,01,00-04,3,2.32
2021-11-19,Schleswig-Holstein,01,00+,94,3.23
2021-11-19,Schleswig-Holstein,01,05-14,4,1.53
2021-11-19,Schleswig-Holstein,01,15-34,4,0.64
2021-11-19,Schleswig-Holstein,01,35-59,15,1.49
2021-11-19,Schleswig-Holstein,01,60-79,42,6.34
2021-11-19,Schleswig-Holstein,01,80+,26,11.8
2021-11-19,Hamburg,02,00-04,1,1.01
2021-11-19,Hamburg,02,00+,36,1.94
2021-11-19,Hamburg,02,05-14,0,0
2021-11-19,Hamburg,02,15-34,1,0.2
2021-11-19,Hamburg,02,35-59,7,1.07
2021-11-19,Hamburg,02,60-79,10,3.07
2021-11-19,Hamburg,02,80+,17,15.11
2021-11-19,Niedersachsen,03,00-04,2,0.53
2021-11-19,Niedersachsen,03,00+,180,2.25
2021-11-19,Niedersachsen,03,05-14,2,0.27
2021-11-19,Niedersachsen,03,15-34,19,1.05
2021-11-19,Niedersachsen,03,35-59,26,0.95
2021-11-19,Niedersachsen,03,60-79,59,3.33
2021-11-19,Niedersachsen,03,80+,72,12.41
2021-11-19,Bremen,04,00-04,0,0
2021-11-19,Bremen,04,00+,31,4.56
2021-11-19,Bremen,04,05-14,2,3.33
2021-11-19,Bremen,04,15-34,8,4.62
2021-11-19,Bremen,04,35-59,9,3.99
2021-11-19,Bremen,04,60-79,6,4.28
2021-11-19,Bremen,04,80+,6,12.67
2021-11-19,Nordrhein-Westfalen,05,00-04,21,2.41
2021-11-19,Nordrhein-Westfalen,05,00+,722,4.03
2021-11-19,Nordrhein-Westfalen,05,05-14,14,0.85
2021-11-19,Nordrhein-Westfalen,05,15-34,91,2.17
2021-11-19,Nordrhein-Westfalen,05,35-59,152,2.48
2021-11-19,Nordrhein-Westfalen,05,60-79,235,6.14
2021-11-19,Nordrhein-Westfalen,05,80+,209,16.55
2021-11-19,Hessen,06,00-04,10,3.28
2021-11-19,Hessen,06,00+,303,4.81
2021-11-19,Hessen,06,05-14,8,1.38
2021-11-19,Hessen,06,15-34,42,2.85
2021-11-19,Hessen,06,35-59,72,3.28
2021-11-19,Hessen,06,60-79,89,6.74
2021-11-19,Hessen,06,80+,82,19.43
2021-11-19,Rheinland-Pfalz,07,00-04,3,1.54
2021-11-19,Rheinland-Pfalz,07,00+,150,3.66
2021-11-19,Rheinland-Pfalz,07,05-14,5,1.37
2021-11-19,Rheinland-Pfalz,07,15-34,12,1.31
2021-11-19,Rheinland-Pfalz,07,35-59,43,3.07
2021-11-19,Rheinland-Pfalz,07,60-79,43,4.65
2021-11-19,Rheinland-Pfalz,07,80+,44,15
2021-11-19,Baden-Württemberg,08,00-04,7,1.28
2021-11-19,Baden-Württemberg,08,00+,637,5.74
2021-11-19,Baden-Württemberg,08,05-14,11,1.08
2021-11-19,Baden-Württemberg,08,15-34,47,1.76
2021-11-19,Baden-Württemberg,08,35-59,139,3.63
2021-11-19,Baden-Württemberg,08,60-79,218,9.53
2021-11-19,Baden-Württemberg,08,80+,215,28.59
2021-11-19,Bayern,09,00-04,25,3.87
2021-11-19,Bayern,09,00+,1202,9.15
2021-11-19,Bayern,09,05-14,12,1.02
2021-11-19,Bayern,09,15-34,91,2.93
2021-11-19,Bayern,09,35-59,229,4.98
2021-11-19,Bayern,09,60-79,443,16.14
